#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1976p552 file0_rs0_skip0 stages0
1976p562 file0_rs0_skip0 stages0
1977p330 file0_rs0_skip0 stages0
1977p332 file0_rs0_skip0 stages0
1977p542 file0_rs0_skip0 stages0
1977p545 file0_rs0_skip0 stages0
1977p555 file0_rs0_skip0 stages0
1977p572 file0_rs0_skip0 stages0
1978p325 file0_rs0_skip0 stages0
1978p565 file0_rs0_skip0 stages0
1978p575 file0_rs0_skip0 stages0
1979p382 file0_rs0_skip0 stages0
1979p547 file0_rs0_skip0 stages0
1979p557 file0_rs0_skip0 stages0
1979p567 file0_rs0_skip0 stages0
1980p385 file0_rs0_skip0 stages0
1980p550 file0_rs0_skip0 stages0
1980p560 file0_rs0_skip0 stages0
1980p570 file0_rs0_skip0 stages1
1981p325 file0_rs0_skip0 stages0
1981p377 file0_rs0_skip0 stages0
1981p380 file0_rs0_skip0 stages0
1981p552 file0_rs0_skip0 stages0
1981p562 file0_rs0_skip0 stages0
1981p572 file0_rs0_skip0 stages1
1982p327 file0_rs0_skip0 stages0
1982p330 file0_rs0_skip0 stages0
1982p382 file0_rs0_skip0 stages0
1982p545 file0_rs0_skip0 stages0
1982p555 file0_rs0_skip0 stages0
1982p565 file0_rs0_skip0 stages0
1982p575 file0_rs0_skip0 stages1
1983p332 file0_rs0_skip0 stages0
1983p335 file0_rs0_skip0 stages0
1983p375 file0_rs0_skip0 stages0
1983p385 file0_rs0_skip0 stages0
1983p387 file0_rs0_skip0 stages0
1983p547 file0_rs0_skip0 stages0
1983p557 file0_rs0_skip0 stages0
1983p567 file0_rs0_skip0 stages0
1984p325 file0_rs0_skip0 stages0
1984p377 file0_rs0_skip0 stages0
1984p390 file0_rs0_skip0 stages0
1984p550 file0_rs0_skip0 stages0
1984p560 file0_rs0_skip0 stages0
1985p327 file0_rs0_skip0 stages0
1985p330 file0_rs0_skip0 stages0
1985p370 file0_rs0_skip0 stages0
1985p380 file0_rs0_skip0 stages0
1985p382 file0_rs0_skip0 stages0
1985p392 file0_rs0_skip0 stages0
1985p395 file0_rs0_skip0 stages0
1985p542 file0_rs0_skip0 stages0
1985p552 file0_rs0_skip0 stages0
1985p562 file0_rs0_skip0 stages0
1985p570 file0_rs0_skip0 stages1
1986p332 file0_rs0_skip0 stages0
1986p335 file0_rs0_skip0 stages0
1986p372 file0_rs0_skip0 stages0
1986p375 file0_rs0_skip0 stages0
1986p385 file0_rs0_skip0 stages0
1986p545 file0_rs0_skip0 stages0
1986p555 file0_rs0_skip0 stages0
1986p572 file0_rs0_skip0 stages1
1987p325 file0_rs0_skip0 stages0
1987p337 file0_rs0_skip0 stages0
1987p377 file0_rs0_skip0 stages0
1987p387 file0_rs0_skip0 stages0
1987p390 file0_rs0_skip0 stages0
1987p547 file0_rs0_skip0 stages0
1987p557 file0_rs0_skip0 stages0
1987p565 file0_rs0_skip0 stages0
1987p575 file0_rs0_skip0 stages1
1988p327 file0_rs0_skip0 stages0
1988p330 file0_rs0_skip0 stages0
1988p380 file0_rs0_skip0 stages0
1988p382 file0_rs0_skip0 stages0
1988p392 file0_rs0_skip0 stages0
1988p550 file0_rs0_skip0 stages0
1988p567 file0_rs0_skip0 stages0
1989p332 file0_rs0_skip0 stages0
1989p335 file0_rs0_skip0 stages0
1989p370 file0_rs0_skip0 stages0
1989p372 file0_rs0_skip0 stages0
1989p385 file0_rs0_skip0 stages0
1989p395 file0_rs0_skip0 stages0
1989p542 file0_rs0_skip0 stages0
1989p560 file0_rs0_skip0 stages0
1989p570 file0_rs0_skip0 stages1
1990p325 file0_rs0_skip0 stages0
1990p337 file0_rs0_skip0 stages0
1990p375 file0_rs0_skip0 stages0
1990p377 file0_rs0_skip0 stages0
1990p387 file0_rs0_skip0 stages0
1990p390 file0_rs0_skip0 stages0
1990p545 file0_rs0_skip0 stages0
1990p552 file0_rs0_skip0 stages0
1990p555 file0_rs0_skip0 stages0
1990p562 file0_rs0_skip0 stages0
1991p327 file0_rs0_skip0 stages0
1991p330 file0_rs0_skip0 stages0
1991p340 file0_rs0_skip0 stages0
1991p367 file0_rs0_skip0 stages0
1991p380 file0_rs0_skip0 stages0
1991p392 file0_rs0_skip0 stages0
1991p565 file0_rs0_skip0 stages0
1991p572 file0_rs0_skip0 stages1
1992p332 file0_rs0_skip0 stages0
1992p335 file0_rs0_skip0 stages0
1992p370 file0_rs0_skip0 stages0
1992p372 file0_rs0_skip0 stages0
1992p382 file0_rs0_skip0 stages0
1992p385 file0_rs0_skip0 stages0
1992p395 file0_rs0_skip0 stages0
1992p397 file0_rs0_skip0 stages0
1992p547 file0_rs0_skip0 stages0
1992p557 file0_rs0_skip0 stages0
1992p567 file0_rs0_skip0 stages0
1992p575 file0_rs0_skip0 stages1
1993p325 file0_rs0_skip0 stages0
1993p337 file0_rs0_skip0 stages0
1993p375 file0_rs0_skip0 stages0
1993p377 file0_rs0_skip0 stages0
1993p387 file0_rs0_skip0 stages0
1993p550 file0_rs0_skip0 stages0
1993p560 file0_rs0_skip0 stages0
1994p327 file0_rs0_skip0 stages0
1994p330 file0_rs0_skip0 stages0
1994p340 file0_rs0_skip0 stages0
1994p367 file0_rs0_skip0 stages0
1994p380 file0_rs0_skip0 stages0
1994p390 file0_rs0_skip0 stages0
1994p392 file0_rs0_skip0 stages0
1994p542 file0_rs0_skip0 stages0
1994p552 file0_rs0_skip0 stages0
