#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
0942p692 file0_rs0_skip0 stages0
0990p455 file0_rs0_skip0 stages0
0928p560 file0_rs0_skip0 stages0
0969p512 file0_rs0_skip0 stages1
2921p565 file0_rs0_skip0 stages0
1018p340 file0_rs0_skip0 stages1
0999p462 file0_rs0_skip0 stages0
0962p515 file0_rs0_skip0 stages1
2933p645 file0_rs0_skip0 stages0
1397p692 file0_rs0_skip0 stages0
0963p435 file0_rs0_skip0 stages1
1408p690 file0_rs0_skip0 stages0
1863p822 file0_rs0_skip0 stages0
2825p410 file0_rs0_skip0 stages0
1032p732 file0_rs0_skip0 stages0
1485p660 file0_rs0_skip0 stages1
2418p837 file0_rs0_skip0 stages0
2829p767 file0_rs0_skip0 stages0
1018p387 file0_rs0_skip0 stages0
1021p390 file0_rs0_skip0 stages0
0996p490 file0_rs0_skip0 stages0
0985p490 file0_rs0_skip0 stages1
2812p362 file0_rs0_skip0 stages1
2985p645 file0_rs0_skip0 stages0
1019p377 file0_rs0_skip0 stages1
0994p432 file0_rs0_skip0 stages0
1915p795 file0_rs0_skip0 stages0
1036p385 file0_rs0_skip0 stages0
1019p375 file0_rs0_skip0 stages1
2920p545 file0_rs0_skip0 stages1
1005p345 file0_rs0_skip0 stages0
2763p417 file0_rs0_skip0 stages0
0958p487 file0_rs0_skip0 stages0
1017p380 file0_rs0_skip0 stages1
1020p727 file0_rs0_skip0 stages0
2040p845 file0_rs0_skip0 stages0
0892p600 file0_rs0_skip0 stages0
0947p487 file0_rs0_skip0 stages1
2926p555 file0_rs0_skip0 stages0
1018p405 file0_rs0_skip0 stages0
2816p752 file0_rs0_skip0 stages0
1035p730 file0_rs0_skip0 stages0
1044p430 file0_rs0_skip0 stages0
1002p357 file0_rs0_skip0 stages0
1000p420 file0_rs0_skip0 stages0
1342p715 file0_rs0_skip0 stages0
0951p507 file0_rs0_skip0 stages1
0951p610 file0_rs0_skip0 stages0
1387p652 file0_rs0_skip0 stages1
1371p662 file0_rs0_skip0 stages0
0958p532 file0_rs0_skip0 stages1
0972p667 file0_rs0_skip0 stages0
1004p442 file0_rs0_skip0 stages1
1020p402 file0_rs0_skip0 stages0
1432p692 file0_rs0_skip0 stages0
2947p672 file0_rs0_skip0 stages0
1009p395 file0_rs0_skip0 stages0
0963p482 file0_rs0_skip0 stages1
1329p727 file0_rs0_skip0 stages0
1011p405 file0_rs0_skip0 stages0
1011p407 file0_rs0_skip0 stages0
0994p360 file0_rs0_skip0 stages0
0967p482 file0_rs0_skip0 stages1
1011p627 file0_rs0_skip0 stages0
0987p360 file0_rs0_skip0 stages0
0949p542 file0_rs0_skip0 stages1
1495p842 file0_rs0_skip0 stages0
0964p440 file0_rs0_skip0 stages1
0959p507 file0_rs0_skip0 stages1
1050p447 file0_rs0_skip0 stages0
1398p665 file0_rs0_skip0 stages0
2919p535 file0_rs0_skip0 stages0
2015p845 file0_rs0_skip0 stages0
0970p432 file0_rs0_skip0 stages1
0931p640 file0_rs0_skip0 stages0
0990p622 file0_rs0_skip0 stages0
0942p500 file0_rs0_skip0 stages0
1011p385 file0_rs0_skip0 stages1
2915p527 file0_rs0_skip0 stages0
0972p502 file0_rs0_skip0 stages1
1487p707 file0_rs0_skip0 stages0
0938p607 file0_rs0_skip0 stages1
1030p722 file0_rs0_skip0 stages0
0963p527 file0_rs0_skip0 stages1
0978p485 file0_rs0_skip0 stages1
1345p720 file0_rs0_skip0 stages0
1013p365 file0_rs0_skip0 stages1
0991p362 file0_rs0_skip0 stages0
0917p607 file0_rs0_skip0 stages0
0966p445 file0_rs0_skip0 stages1
